,date2,hour,favorites count,favorites mean,retweets mean,retweets count,RT_score mean,RT_score count,fav_score mean,Daily Weight mean,Daily Weight count,blob_sent mean,subjectivity mean,vader_sent mean
7292,2019-12-01,19,4,6.5,0.0,4,0.0,4,1.2090704767378695,2.2090704767378693,4,-0.08823651814520381,0.25,-0.035488070000188277
7293,2019-12-01,20,6,485.1666666666667,34.333333333333336,6,1.7585190362990442,6,3.152029604899843,6.077215307865553,6,0.1494968883262667,0.225,0.7965605378015003
7294,2019-12-01,21,7,821.8571428571429,38.857142857142854,7,1.906088967648382,7,2.9788095516729567,5.8848985193213394,7,-1.8145958928560169,0.5634013605442176,1.504988081765742
7295,2019-12-01,22,3,6.0,0.0,3,0.0,3,1.617343421306539,2.617343421306539,3,-0.04703186612666513,0.15432098765432098,0.4735812586645733
7296,2019-12-01,23,6,29.333333333333332,0.3333333333333333,6,0.11552453009332421,6,1.639557958338597,2.755082488431922,6,0.3172320695124991,0.25833333333333336,-0.28057776234584964
7297,2019-12-02,0,3,22.666666666666668,13.0,3,2.283728309164581,3,3.0164107371938087,5.633472379691722,3,0.0,0.0,1.154841945112201
7298,2019-12-02,1,3,39.0,8.0,3,1.9938047370848269,3,3.6580372682213564,5.651842005306183,3,-0.2902337636780467,0.3333333333333333,0.0
7299,2019-12-02,2,1,63.0,12.0,1,2.4849066497880004,1,4.143134726391533,6.628041376179533,1,-0.6628041376179534,0.6,0.0
7300,2019-12-02,3,10,9.2,3.4,10,0.7234177179749849,10,1.1772886844821409,2.0007064024571255,10,-0.042686939869648104,0.32857954545454543,-0.00744890376607722
7301,2019-12-02,4,6,0.0,0.0,6,0.0,6,0.0,0.0,6,0.0,0.5388888888888889,0.03771666666666667
7302,2019-12-02,5,4,0.0,0.0,4,0.0,4,0.0,0.0,4,0.0,0.5221354166666666,0.07955
7303,2019-12-02,6,3,255.0,75.33333333333333,3,1.8068449997574287,3,2.2132919446088453,4.020136944366274,3,0.7753121249849241,0.35595238095238096,0.0
7304,2019-12-02,7,1,963.0,82.0,1,4.406719247264253,1,6.870053411798126,11.27677265906238,1,6.766063595437427,1.0,7.314114746667858
7305,2019-12-02,9,1,29.0,14.0,1,2.6390573296152584,1,3.367295829986474,6.0063531596017325,1,1.2012706319203466,0.3,1.359237720017872
7306,2019-12-02,10,6,27.333333333333332,8.5,6,1.7971684267030115,6,2.8748676845031476,4.838702777872825,6,0.04696363183903727,0.20723905723905722,0.3344134204726524
7307,2019-12-02,11,1,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.6,0.0
