,Unnamed: 0,Unnamed: 0.1,date2,hour,Daily Weight mean,Daily Weight count,blob_sent mean,subjectivity mean,vader_sent_hourly mean,Close,price dir,movement,month
155,155,155,2019-01-08,3,5.631211781821365,1,4.504969425457093,0.4,3.220490018023639,3945.61,-3.84,0.0,1.0
156,156,156,2019-01-08,4,4.332851028994613,4,0.1173179557605275,0.2625,0.5099294118604086,3944.88,-6.114,0.0,1.0
157,157,157,2019-01-08,6,6.253828811575473,1,-1.954321503617336,0.6875,-0.957461191052205,3958.56,-0.494,0.0,1.0
158,158,158,2019-01-08,7,5.807826369465918,2,0.2321543389141762,0.1388888888888888,-0.046051953921991,3953.6,0.888,1.0,1.0
159,159,159,2019-01-08,8,2.3116313985398627,3,0.0,0.2291666666666666,1.6700848364045056,3960.64,3.006,1.0,1.0
160,160,160,2019-01-08,9,5.778020971471403,4,-1.2713894092110616,0.2708333333333333,0.4972292824953634,3973.62,5.748,1.0,1.0
161,161,161,2019-01-08,10,10.39154096133176,6,0.0,0.0,1.361429740705671,3980.69,6.04,1.0,1.0
162,162,162,2019-01-08,11,9.178436822963176,1,0.3365426835086491,0.58,0.0,4001.59,8.606,1.0,1.0
163,163,163,2019-01-08,12,5.974416835280814,5,0.0,0.0133333333333333,1.048280187302675,3988.83,7.046,1.0,1.0
164,164,164,2019-01-08,13,3.056275178574812,5,0.8890940188890359,0.4200735930735931,1.551942048712458,4026.72,13.216,1.0,1.0
165,165,165,2019-01-08,14,2.986163600271341,10,0.0563886282092339,0.3152380952380952,-0.2251885996296651,4008.81,7.038,1.0,1.0
166,166,166,2019-01-08,15,7.671537076735547,3,0.2703878775542474,0.4566666666666667,1.6726628074440375,4000.48,3.958,1.0,1.0
167,167,167,2019-01-08,16,4.546926345829285,5,0.0,0.2,-0.4910166005990897,3968.77,-6.564,0.0,1.0
168,168,168,2019-01-08,17,6.194847645798376,11,-0.2637929271299289,0.5358700642791552,-0.6555411991929426,3962.0,-5.366,0.0,1.0
169,169,169,2019-01-08,18,4.9069335867754935,6,1.3307206016664388,0.261111111111111,1.7485425940889054,3968.46,-11.652,0.0,1.0
170,170,170,2019-01-08,19,4.8219255734809225,12,0.3777019513654296,0.1259259259259259,-0.2451120491732586,3976.12,-6.538,0.0,1.0
171,171,171,2019-01-08,20,4.913250401119224,5,0.0461767412879984,0.0909090909090909,0.1323470117655515,3965.4,-7.016,0.0,1.0
172,172,172,2019-01-08,21,4.054579274940715,8,-0.1329473657377325,0.2886363636363636,0.3520806843213779,3963.23,-1.108,0.0,1.0
173,173,173,2019-01-08,22,3.311619854648014,4,0.0652738293077611,0.1916666666666666,0.0,3967.83,1.166,1.0,1.0
174,174,174,2019-01-08,23,5.270119942954897,3,0.8227436632376012,0.4083333333333334,-0.1811670677287111,3955.13,-2.666,0.0,1.0
175,175,175,2019-01-09,0,4.650016499887147,6,1.4103774924547403,0.3194444444444444,2.1130291261961496,3955.73,-4.078,0.0,1.0
176,176,176,2019-01-09,1,3.532058527719014,4,-0.0188009674597034,0.3125,0.0,3986.0,4.12,1.0,1.0
177,177,177,2019-01-09,2,1.9459101490553128,1,-0.1945910149055313,0.6,0.5959576231538899,3980.64,3.482,1.0,1.0
178,178,178,2019-01-09,3,5.307102099358686,2,0.0,0.125,0.5007295232365045,3981.03,2.64,1.0,1.0
179,179,179,2019-01-09,5,8.047517221357296,1,0.0,0.0,-0.9291800186333944,3987.98,6.45,1.0,1.0
180,180,180,2019-01-09,7,8.476371196895983,1,0.4238185598447991,0.4,1.0849755132026857,3987.88,1.448,1.0,1.0
181,181,181,2019-01-09,9,8.650708354042678,2,0.8183242991840137,0.3608796296296296,3.338094310425072,3978.0,-3.2,0.0,1.0
182,182,182,2019-01-09,10,6.678339421046793,3,0.4050115876822551,0.2166666666666666,2.4924950851933656,3982.77,-1.042,0.0,1.0
183,183,183,2019-01-09,11,3.044522437723423,1,-0.3044522437723423,0.6,0.0,3986.44,-0.038,0.0,1.0
184,184,184,2019-01-09,12,5.86414478415335,4,0.9182212599895536,0.25,-0.2563723091226566,3976.72,-2.232,0.0,1.0
185,185,185,2019-01-09,13,2.179465177278823,8,0.0871858564023764,0.1237760416666666,0.0161377237018157,3968.09,-2.89,0.0,1.0
186,186,186,2019-01-09,14,5.466985775794065,5,0.0117557332980423,0.1649999999999999,0.0934181104931742,3951.22,-5.356,0.0,1.0
187,187,187,2019-01-09,15,4.155359160796819,10,-0.1663502872101997,0.3418181818181818,0.3658036025775785,3958.28,-4.898,0.0,1.0
188,188,188,2019-01-09,16,5.228187177968518,6,-0.1067653208581352,0.4472222222222222,-0.2336795994148066,3963.03,-4.682,0.0,1.0
189,189,189,2019-01-09,17,8.071336170801874,5,0.0,0.0,0.6889875183405042,3968.0,-1.744,0.0,1.0
190,190,190,2019-01-09,18,5.613105297496464,48,0.5039412656258736,0.3457471853956229,0.9958918998279326,3971.38,0.658,1.0,1.0
191,191,191,2019-01-09,19,1.9964798042439984,11,0.1491033526294631,0.2731765709038436,0.0369817120665873,3978.34,5.424,1.0,1.0
192,192,192,2019-01-09,20,6.933460406492994,11,-0.0352471303775666,0.3524793388429751,1.0446618967598729,3967.0,1.744,1.0,1.0
193,193,193,2019-01-09,21,4.730045748587914,5,-0.5552602779497159,0.2599999999999999,-0.2357228302036548,3966.48,0.69,1.0,1.0
194,194,194,2019-01-09,22,10.207575406722114,16,-0.5036021194744279,0.2086284722222222,-0.0602824369704717,3967.4,-0.12,0.0,1.0
195,195,195,2019-01-09,23,8.150640884223082,12,0.644189553869825,0.0916666666666666,2.151512868592959,3966.65,-0.946,0.0,1.0
196,196,196,2019-01-10,0,2.759300470583065,8,-0.0930968910005988,0.21875,0.3581554199047935,3987.66,1.864,1.0,1.0
197,197,197,2019-01-10,1,3.992471304509285,3,0.1425555373005352,0.0666666666666666,0.1535364607398319,3982.44,3.088,1.0,1.0
198,198,198,2019-01-10,2,4.618369676193181,13,0.4929203834722502,0.3541167166167165,0.981386484964664,3981.0,2.904,1.0,1.0
199,199,199,2019-01-10,4,5.730407504976768,2,0.0,0.125,0.0,3993.0,5.27,1.0,1.0
200,200,200,2019-01-10,5,4.746698569172906,3,-0.0435686632917882,0.5420454545454545,0.7275526788420094,3989.79,0.426,1.0,1.0
201,201,201,2019-01-10,6,12.195131496044404,5,1.8400648022186483,0.3,6.060420173043896,3767.9,-42.908,0.0,1.0
202,202,202,2019-01-10,7,0.9729550745276566,2,-0.0972955074527656,0.3,0.3514313729193896,3777.02,-40.796,0.0,1.0
203,203,203,2019-01-10,8,9.101677747454572,1,0.0,0.0,3.0945704341345546,3759.07,-43.974,0.0,1.0
204,204,204,2019-01-10,9,3.40339792031538,7,0.0994104872871141,0.365079365079365,0.8360733890426685,3732.79,-52.042,0.0,1.0
205,205,205,2019-01-10,10,7.899921059378886,5,0.0,0.4,-0.2587557379104699,3736.45,-50.668,0.0,1.0
206,206,206,2019-01-10,11,6.72917120250484,3,-0.1941097503628356,0.3515151515151515,0.1017540061061999,3739.99,-5.582,0.0,1.0
207,207,207,2019-01-10,12,7.29392717282943,3,-0.6187832790967074,0.3291666666666666,0.3607965222220144,3732.81,-8.842,0.0,1.0
